maze,algorithm,execution_time (s),peak_memory (kB),path_length,total_moves,epochs
180x180-659265,AStar,0.5779829025268555,62.328981015766566,633,31515,
180x180-659265,MDPValueIteration,123.26332306861877,58.475638876187574,633,,502
180x180-659265,MDPPolicyIteration,285.09520411491394,58.51628308692781,633,,339
190x190-132269,DFS,0.2845184803009033,1.1448119358498874,7955,49586,
190x190-132269,BFS,104.38358616828918,47.51199850971227,699,9768314,
190x190-132269,AStar,0.5891933441162109,62.6030584768582,699,32625,
190x190-132269,MDPValueIteration,145.75066685676575,60.43468983386679,699,,546
190x190-132269,MDPPolicyIteration,380.6504592895508,60.475334044607024,699,,377
200x200-778508,DFS,0.3029215335845947,1.4488306321868278,6887,53234,
200x200-778508,BFS,122.39166402816772,40.49734965875798,681,11606493,
200x200-778508,AStar,0.7167532444000244,61.11602228657556,681,38909,
200x200-778508,MDPValueIteration,163.3980312347412,62.22249318362716,681,,543
200x200-778508,MDPPolicyIteration,381.9120547771454,62.26313739436739,681,,356
